Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 06 59 +0.13 +1 +1 +1 1
02 06 60 +0.75 +0 -1 -1 1
02 07 01 +0.10 +0 +1 +1 1
02 07 02 +0.32 +1 +1 +1 1
02 07 03 +0.24 -1 +1 +1 1
02 07 04 +0.56 +1 +1 +1 1
02 07 05 +0.10 -1 -1 -1 1
02 07 06 +0.56 -1 -1 -1 1
02 07 07 +0.13 -1 -1 -1 1
02 07 08 +0.56 -1 +1 +1 1
02 07 09 +0.56 +1 -1 -1 1
02 07 10 +0.18 -1 +1 +1 1
02 07 11 +0.00 +1 -1 -1 1
02 07 12 +0.00 +0 +1 -1 1
02 07 13 +0.42 -1 +1 +1 1
02 07 14 +0.10 -1 +1 +1 1
02 07 15 +0.13 -1 +1 +1 1
02 07 16 +0.24 +0 -1 -1 1
02 07 17 +1.00 -1 -1 -1 1
02 07 18 +1.00 -1 +1 +1 1
02 07 19 +0.75 +1 +1 +1 1
02 07 20 +0.32 +0 -1 -1 1
02 07 21 +0.75 +0 -1 -1 1
02 07 22 +1.00 +1 -1 -1 1
02 07 23 +0.56 +0 +1 +1 1
02 07 24 +0.42 -1 -1 -1 1
02 07 25 +0.32 +1 -1 -1 1
02 07 26 +0.24 -1 -1 -1 1
02 07 27 +1.00 +0 -1 -1 1
02 07 28 +0.75 -1 -1 -1 1
02 07 29 +0.75 +0 +1 +1 1
02 07 30 +0.10 +0 -1 -1 1
02 07 31 +1.00 +0 +1 +1 1
02 07 32 +0.18 -1 -1 -1 1
02 07 33 +0.24 +1 +1 +1 1
02 07 34 +0.00 +0 -1 -1 1
02 07 35 +0.18 +0 -1 -1 1
02 07 36 +0.24 +0 +1 +1 1
02 07 37 +0.75 -1 +1 +1 1
02 07 38 +0.32 +0 +1 +1 1
02 07 39 +0.00 -1 +1 +1 0
02 07 40 +0.18 +1 -1 +1 0
02 07 41 +0.13 +1 +1 +1 1
02 07 42 +0.00 +1 +1 +1 0
02 07 43 +0.24 +1 -1 -1 1
02 07 44 +0.10 +1 -1 +1 0
02 07 45 +0.32 -1 -1 -1 1
02 07 46 +0.75 +1 -1 -1 1
02 07 47 +0.18 +1 +1 +1 1
02 07 48 +0.42 +0 +1 +1 1
02 07 49 +0.42 +0 -1 -1 1
02 07 50 +1.00 +1 +1 +1 1
02 07 51 +0.42 +1 +1 +1 1
02 07 52 +0.13 +0 -1 -1 1
02 07 53 +0.13 +0 +1 +1 1
02 07 54 +0.13 +1 -1 -1 1
02 07 55 +0.18 +0 +1 +1 1
02 07 56 +0.42 +1 -1 -1 1
02 07 57 +0.32 -1 +1 +1 1
02 07 58 +0.10 +1 +1 +1 1
02 07 59 +0.00 -1 -1 -1 1
02 07 60 +0.56 +0 -1 -1 1
02 08 01 +1.00 -1 -1 -1 1
02 08 02 +0.00 +1 +1 +1 0
02 08 03 +0.10 -1 -1 +1 0
02 08 04 +0.32 -1 -1 -1 1
02 08 05 +0.18 +1 +1 +1 1
02 08 06 +0.56 -1 +1 +1 1
02 08 07 +0.24 -1 -1 -1 1
02 08 08 +0.13 +1 +1 +1 1
02 08 09 +0.75 -1 +1 +1 1
02 08 10 +0.18 +1 -1 -1 1
02 08 11 +0.42 -1 -1 -1 1
02 08 12 +1.00 +1 +1 +1 1
02 08 13 +0.56 +0 -1 -1 1
02 08 14 +0.75 -1 -1 -1 1
02 08 15 +0.00 -1 +1 +1 0
02 08 16 +0.24 +1 -1 -1 1
02 08 17 +0.00 +0 +1 +1 0
02 08 18 +0.56 +1 +1 +1 1
02 08 19 +0.42 +0 -1 -1 1
02 08 20 +0.56 +1 -1 -1 1
02 08 21 +0.24 +1 +1 +1 1
02 08 22 +0.32 +0 -1 -1 1
02 08 23 +0.75 +1 -1 -1 1
02 08 24 +0.75 +0 -1 -1 1
02 08 25 +0.10 +1 +1 +1 1
02 08 26 +0.10 -1 +1 +1 1
02 08 27 +1.00 +0 +1 +1 1
02 08 28 +0.18 +0 -1 +1 0
